gymName,url,facilities,imagery,cta,facilitiesEvidence,imageryEvidence,ctaEvidence
"Gosforth Fitness & Wellbeing Gym
                      Gosforth","https://www.nuffieldhealth.com/gyms/gosforth",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=10; top-of-page CTA=false; online-signal href=true"
"Guildford Fitness & Wellbeing Gym
                      Guildford","https://www.nuffieldhealth.com/gyms/guildford",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 12 relevant images detected, with modern delivery signals (0 modern-format assets and 6 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Guiseley Fitness & Wellbeing Gym
                      Guiseley","https://www.nuffieldhealth.com/gyms/guiseley",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Harrogate Fitness & Wellbeing Gym
                      Harrogate","https://www.nuffieldhealth.com/gyms/harrogate",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Hemel Hempstead Fitness & Wellbeing Gym
                      Hemel Hempstead","https://www.nuffieldhealth.com/gyms/hemel-hempstead",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Hendon Fitness & Wellbeing Gym
                      Hendon","https://www.nuffieldhealth.com/gyms/hendon",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Hertford Fitness & Wellbeing Gym
                      Hertford","https://www.nuffieldhealth.com/gyms/hertford",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Hull Fitness & Wellbeing Gym
                      Hull","https://www.nuffieldhealth.com/gyms/hull",Pass,Fail,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Ilford Fitness & Wellbeing Gym
                      Ilford","https://www.nuffieldhealth.com/gyms/ilford",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Islington Fitness & Wellbeing Gym
                      Islington","https://www.nuffieldhealth.com/gyms/islington",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
